,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
133,1,25,133,left,mae475,0,1216.446,0
134,0,0,134,left,mae475,0,1411.9250000000002,1
135,1,60,135,left,mae475,0,3034.766,0
136,0,0,136,left,mae475,0,1228.644,1
137,1,10,137,left,mae475,0,934.917,0
138,0,0,138,left,mae475,0,1102.2430000000002,1
139,1,15,139,left,mae475,0,895.841,0
140,0,0,140,left,mae475,0,785.529,1
141,0,0,141,left,mae475,0,1227.066,1
142,0,0,142,left,mae475,0,1053.895,1
143,0,0,143,left,mae475,0,772.428,1
144,0,0,144,left,mae475,0,790.4499999999999,1
145,0,0,145,left,mae475,0,673.4010000000001,1
146,0,0,146,left,mae475,0,861.328,1
147,0,0,147,left,mae475,0,762.6469999999999,1
148,1,10,148,left,mae475,0,749.206,0
149,1,15,149,left,mae475,0,712.918,0
150,1,25,150,left,mae475,0,1415.772,0
151,1,10,151,left,mae475,0,1124.7990000000002,0
152,1,60,152,left,mae475,1,2200.136,1
153,1,10,153,left,mae475,0,2844.591,0
154,1,15,154,left,mae475,0,1723.927,0
155,0,0,155,left,mae475,0,772.8230000000001,1
156,0,0,156,left,mae475,0,745.101,1
157,0,0,157,left,mae475,0,880.46,1
158,0,0,158,left,mae475,0,661.485,1
159,1,25,159,left,mae475,0,592.679,0
160,1,15,160,left,mae475,0,652.909,0
161,0,0,161,left,mae475,0,753.3100000000001,1
162,1,60,162,left,mae475,0,706.553,0
163,0,0,163,left,mae475,0,2471.292,1
164,1,60,164,left,mae475,1,1574.364,1
165,0,0,165,left,mae475,0,954.469,1
166,1,10,166,left,mae475,0,1121.1480000000001,0
167,0,0,167,left,mae475,0,961.116,1
168,0,0,168,left,mae475,0,933.784,1
169,1,15,169,left,mae475,0,1946.477,0
170,0,0,170,left,mae475,0,1375.208,1
171,0,0,171,left,mae475,0,2427.338,1
172,0,0,172,left,mae475,0,947.299,1
173,0,0,173,left,mae475,0,1046.928,1
174,1,60,174,left,mae475,1,1747.469,1
175,0,0,175,left,mae475,0,1032.411,1
176,0,0,176,left,mae475,0,897.255,1
177,1,15,177,left,mae475,0,950.12,0
178,0,0,178,left,mae475,0,1012.3100000000001,1
179,1,25,179,left,mae475,0,2350.9730000000004,0
180,1,25,180,left,mae475,0,1861.126,0
181,1,15,181,left,mae475,0,1301.945,0
182,1,10,182,left,mae475,0,973.623,0
183,0,0,183,left,mae475,0,943.251,1
184,0,0,184,left,mae475,0,862.8710000000001,1
185,1,15,185,left,mae475,0,1204.716,0
186,1,10,186,left,mae475,0,1262.874,0
187,1,60,187,left,mae475,1,1891.246,1
188,1,15,188,left,mae475,0,1709.465,0
189,0,0,189,left,mae475,0,884.5659999999999,1
190,0,0,190,left,mae475,0,910.215,1
191,1,10,191,left,mae475,0,1281.024,0
192,1,10,192,left,mae475,0,2284.6929999999998,0
193,1,15,193,left,mae475,0,1794.094,0
194,1,60,194,left,mae475,1,1929.1480000000001,1
195,1,15,195,left,mae475,0,1132.494,0
196,0,0,196,left,mae475,0,990.3290000000001,1
197,1,60,197,left,mae475,1,1859.299,1
198,1,15,198,left,mae475,0,1596.522,0
199,1,25,199,left,mae475,0,1293.3239999999998,0
